L   1	[{"item":2,"quantity":15}]
L1531	[{"item": 17, "quantity": 81}, {"item": 19, "quantity": 32}, {"item": 16, "quantity": 15}]
L1537	[{"item": 17, "quantity": 125}, {"item": 7, "quantity": 19}, {"item": 18, "quantity": 3}]
L1540	[{"quantity": 150, "item": 2}, {"quantity": 150, "item": 1}, {"quantity": 9, "item": 9}]
L1543	[{"item": 18, "quantity": 7}, {"item": 19, "quantity": 14}]
L1547	[{"quantity": 140, "item": 17}]
L1549	[{"item": 20, "quantity": 55}]
L1556	[{"item": 18, "quantity": 8}, {"item": 9, "quantity": 8}]
L1559	[{"item": 8, "quantity": 30}]
L1563	[{"item": 16, "quantity": 18}, {"item": 8, "quantity": 25}]
L1564	[{"quantity": 2, "item": 18}, {"item": 19, "quantity": 36}]
L1566	[{"quantity": 2, "item": 9}, {"quantity": 15, "item": 8}, {"item": 17, "quantity": 98}]
L1569	[{"item": 18, "quantity": 3}, {"item": 9, "quantity": 3}]
L1572	[{"quantity": 28, "item": 19}, {"quantity": 26, "item": 17}]
L1574	[{"item": 17, "quantity": 30}]
L1581	[{"quantity": 40, "item": 2}, {"quantity": 40, "item": 4}, {"item": 6, "quantity": 40}]
L1589	[{"quantity": 76, "item": 17}]
L1594	[{"item": 7, "quantity": 8}, {"item": 9, "quantity": 2}]
L1598	[{"item": 18, "quantity": 2}, {"item": 7, "quantity": 6}, {"item": 16, "quantity": 20}]
L1601	[{"quantity": 2, "item": 18}, {"quantity": 28, "item": 19}]
L1603	[{"quantity": 10, "item": 16}, {"quantity": 20, "item": 8}, {"quantity": 70, "item": 2}]
L1608	[{"quantity": 30, "item": 16}, {"item": 19, "quantity": 40}, {"item": 24, "quantity": 2}]
L1611	[{"quantity": 25, "item": 16}, {"quantity": 25, "item": 19}]
L1614	[{"quantity": 45, "item": 17}, {"quantity": 20, "item": 16}]
L1616	[{"item": 17, "quantity": 46}, {"item": 9, "quantity": 8}, {"item": 2, "quantity": 110}]
L1617	[{"item": 17, "quantity": 70}]
L1619	[{"quantity": 50, "item": 1}, {"item": 25, "quantity": 70}]
L1621	[{"quantity": 60, "item": 16}, {"quantity": 10, "item": 19}, {"quantity": 10, "item": 8}]
L1623	[{"quantity": 84, "item": 17}]
L1625	[{"quantity": 80, "item": 19}]
L1627	[{"quantity": 9, "item": 18}, {"item": 17, "quantity": 90}]
L1634	[{"quantity": 3, "item": 8}, {"quantity": 4, "item": 7}, {"item": 9, "quantity": 2}]
L1637	[{"quantity": 50, "item": 19}]
L1641	[{"quantity": 111, "item": 1}, {"quantity": 111, "item": 6}, {"quantity": 111, "item": 2}]
L1644	[{"item": 3, "quantity": 100}]
L1648	[{"quantity": 4, "item": 19}, {"quantity": 9, "item": 16}, {"quantity": 13, "item": 17}]
L1653	[{"item": 18, "quantity": 28}, {"item": 9, "quantity": 28}, {"item": 7, "quantity": 28}]
L1655	[{"item": 16, "quantity": 20}, {"item": 26, "quantity": 20}]
L1658	[{"item": 10, "quantity": 4}]
L1663	[{"item": 26, "quantity": 50}]
L1666	[{"item": 19, "quantity": 25}]
L1667	[{"item": 17, "quantity": 65}]
L1669	[{"item": 17, "quantity": 114}]
L1672	[{"quantity": 2, "item": 18}, {"quantity": 64, "item": 17}, {"item": 32, "quantity": 45}]
L1674	[{"item": 19, "quantity": 30}]
L1676	[{"quantity": 6, "item": 18}]
L1680	[{"item": 19, "quantity": 15}, {"item": 2, "quantity": 60}]
L1682	[{"quantity": 130, "item": 25}]
L1689	[{"quantity": 10, "item": 16}]
L1691	[{"item": 17, "quantity": 60}, {"item": 16, "quantity": 10}, {"item": 19, "quantity": 5}]
L1694	[{"item": 25, "quantity": 14}]
L1696	[{"quantity": 33, "item": 17}]
L1699	[{"item": 17, "quantity": 62}, {"item": 19, "quantity": 14}]
L1709	[{"item": 17, "quantity": 47}, {"item": 25, "quantity": 39}]
L1713	[{"item": 16, "quantity": 8}, {"item": 17, "quantity": 16}, {"item": 19, "quantity": 24}]
L1717	[{"quantity": 80, "item": 17}, {"quantity": 4, "item": 7}]
L1721	[{"item": 25, "quantity": 101}, {"item": 17, "quantity": 45}]
L1724	[{"quantity": 50, "item": 6}, {"quantity": 50, "item": 5}, {"quantity": 10, "item": 8}]
L1726	[{"item": 16, "quantity": 35}]
L1730	[{"item": 20, "quantity": 50}]
L1732	[{"item": 19, "quantity": 55}]
L1735	[{"quantity": 1, "item": 18}, {"quantity": 25, "item": 19}, {"quantity": 60, "item": 17}]
L1738	[{"quantity": 8, "item": 18}, {"item": 17, "quantity": 109}]
L1742	[{"quantity": 16, "item": 16}, {"quantity": 76, "item": 17}]
L1747	[{"quantity": 12, "item": 19}, {"quantity": 56, "item": 17}]
L1749	[{"item": 17, "quantity": 104}]
L1751	[{"quantity": 66, "item": 17}, {"quantity": 13, "item": 16}, {"quantity": 7, "item": 7}]
L1753	[{"item": 20, "quantity": 25}]
L1754	[{"item": 9, "quantity": 5}, {"item": 16, "quantity": 15}]
L1756	[{"quantity": 12, "item": 3}]
L1757	[{"item": 19, "quantity": 55}]
L1765	[{"quantity": 2, "item": 18}, {"item": 12, "quantity": 1}, {"item": 11, "quantity": 1}]
L1767	[{"item": 25, "quantity": 54}, {"item": 19, "quantity": 9}]
L1769	[{"quantity": 5, "item": 18}, {"quantity": 8, "item": 9}]
L1772	[{"item": 17, "quantity": 118}]
L1775	[{"item": 19, "quantity": 4}, {"item": 17, "quantity": 68}]
L1776	[{"item": 16, "quantity": 40}]
L1780	[{"quantity": 100, "item": 2}, {"quantity": 100, "item": 1}, {"quantity": 100, "item": 5}]
L1783	[{"item": 17, "quantity": 86}, {"item": 22, "quantity": 2}]
L1784	[{"item": 17, "quantity": 75}]
L1790	[{"quantity": 42, "item": 19}, {"item": 24, "quantity": 3}]
L1791	[{"quantity": 193, "item": 17}]
L1795	[{"quantity": 5, "item": 18}]
L1802	[{"quantity": 60, "item": 17}]
L1805	[{"item": 18, "quantity": 3}, {"item": 19, "quantity": 20}]
L1807	[{"quantity": 3, "item": 18}, {"quantity": 28, "item": 17}, {"quantity": 30, "item": 19}]
L1809	[{"item": 17, "quantity": 100}, {"item": 6, "quantity": 100}, {"item": 2, "quantity": 100}]
L1810	[{"item": 17, "quantity": 93}, {"item": 20, "quantity": 23}]
L1812	[{"item": 3, "quantity": 24}]
L1814	[{"item": 18, "quantity": 1}, {"item": 9, "quantity": 8}, {"item": 5, "quantity": 80}]
L1818	[{"quantity": 45, "item": 16}, {"quantity": 65, "item": 2}, {"quantity": 8, "item": 19}]
L1820	[{"item": 17, "quantity": 111}]
L1823	[{"quantity": 18, "item": 3}]
L1827	[{"item": 18, "quantity": 4}, {"item": 8, "quantity": 10}]
L1831	[{"quantity": 50, "item": 17}]
L1834	[{"item": 17, "quantity": 15}, {"item": 19, "quantity": 26}, {"item": 16, "quantity": 10}]
L1838	[{"quantity": 5, "item": 18}]
L1841	[{"quantity": 25, "item": 17}, {"quantity": 45, "item": 2}, {"quantity": 55, "item": 19}]
L1843	[{"item": 25, "quantity": 50}]
L1845	[{"item": 20, "quantity": 12}]
L1846	[{"item": 17, "quantity": 96}, {"item": 19, "quantity": 36}, {"item": 22, "quantity": 2}]
L1848	[{"item": 1, "quantity": 3}]
L1851	[{"item": 18, "quantity": 7}, {"item": 19, "quantity": 30}]
L1855	[{"quantity": 27, "item": 19}, {"quantity": 75, "item": 5}, {"quantity": 75, "item": 4}]
L1856	[{"item": 25, "quantity": 50}, {"item": 19, "quantity": 16}]
L1858	[{"quantity": 2, "item": 18}, {"quantity": 18, "item": 16}, {"quantity": 80, "item": 1}]
L1859	[{"item": 17, "quantity": 50}, {"item": 22, "quantity": 2}]
L1861	[{"item": 9, "quantity": 12}, {"item": 18, "quantity": 8}]
L1863	[{"item": 18, "quantity": 2}]
L1864	[{"item": 17, "quantity": 65}]
L1867	[{"item": 17, "quantity": 24}, {"item": 19, "quantity": 12}, {"item": 8, "quantity": 6}]
L1873	[{"item": 17, "quantity": 95}]
L1875	[{"quantity": 60, "item": 17}]
L1877	[{"quantity": 30, "item": 17}, {"quantity": 52, "item": 25}]
L1879	[{"item": 3, "quantity": 10}]
L1883	[{"item": 17, "quantity": 70}]
L1888	[{"item": 17, "quantity": 145}]
L1889	[{"quantity": 50, "item": 17}]
L1891	[{"item": 25, "quantity": 75}, {"item": 19, "quantity": 16}]
L1892	[{"item": 19, "quantity": 10}, {"item": 17, "quantity": 84}]
L1895	[{"item": 1, "quantity": 40}, {"item": 6, "quantity": 40}, {"item": 2, "quantity": 40}]
L1900	[{"quantity": 1, "item": 18}, {"quantity": 14, "item": 19}, {"item": 25, "quantity": 30}]
L1902	[{"item": 26, "quantity": 22}, {"item": 25, "quantity": 33}]
L1903	[{"quantity": 90, "item": 17}]
L1905	[{"item": 18, "quantity": 1}, {"item": 19, "quantity": 10}, {"item": 17, "quantity": 18}]
L1908	[{"quantity": 86, "item": 17}, {"item": 18, "quantity": 1}, {"item": 32, "quantity": 20}]
L1913	[{"item": 17, "quantity": 28}, {"item": 19, "quantity": 10}, {"item": 16, "quantity": 5}]
L1916	[{"item": 16, "quantity": 13}, {"item": 19, "quantity": 16}]
L1919	[{"item": 25, "quantity": 62}, {"item": 17, "quantity": 162}, {"item": 18, "quantity": 2}]
L1921	[{"item": 18, "quantity": 1}, {"item": 19, "quantity": 20}]
L1923	[{"item": 18, "quantity": 1}, {"item": 17, "quantity": 14}, {"item": 19, "quantity": 18}]
L1928	[{"item": 17, "quantity": 108}]
L1936	[{"item": 24, "quantity": 7}, {"item": 19, "quantity": 7}]
L1943	[{"item": 17, "quantity": 50}, {"item": 19, "quantity": 20}]
L1944	[{"item": 17, "quantity": 60}, {"item": 18, "quantity": 9}]
L1946	[{"item": 17, "quantity": 114}, {"item": 19, "quantity": 24}]
L1949	[{"quantity": 5, "item": 18}, {"item": 32, "quantity": 100}]
L1950	[{"item": 17, "quantity": 54}, {"item": 19, "quantity": 25}]
L1952	[{"item": 25, "quantity": 120}]
L1953	[{"item": 19, "quantity": 6}, {"item": 16, "quantity": 12}]
L1956	[{"item": 19, "quantity": 32}, {"item": 17, "quantity": 16}]
L1959	[{"item": 18, "quantity": 6}, {"item": 17, "quantity": 68}]
L1962	[{"item": 17, "quantity": 47}]
L1968	[{"item": 18, "quantity": 1}, {"item": 17, "quantity": 32}]
L1977	[{"item": 3, "quantity": 6}]
L1982	[{"item": 18, "quantity": 1}, {"item": 17, "quantity": 28}]
L1984	[{"item": 3, "quantity": 10}]
L1985	[{"item": 17, "quantity": 35}, {"item": 16, "quantity": 10}, {"item": 18, "quantity": 1}]
L1989	[{"quantity": 20, "item": 16}]
L1991	[{"quantity": 20, "item": 17}, {"quantity": 16, "item": 19}]
L1994	[{"quantity": 10, "item": 16}, {"quantity": 12, "item": 17}, {"quantity": 16, "item": 19}]
L1998	[{"quantity": 60, "item": 17}, {"quantity": 6, "item": 19}]
L1999	[{"item": 16, "quantity": 10}, {"item": 17, "quantity": 112}]
L2000	[{"item": 6, "quantity": 100}, {"item": 5, "quantity": 100}]
L2001	[{"item": 18, "quantity": 3}, {"item": 17, "quantity": 44}]
L2002	[{"item": 3, "quantity": 4}]
L2004	[{"item": 17, "quantity": 80}]
L2014	[{"item": 3, "quantity": 10}]
L2017	[{"item": 18, "quantity": 4}, {"item": 17, "quantity": 10}, {"item": 19, "quantity": 30}]
L2019	[{"item": 18, "quantity": 1}, {"item": 19, "quantity": 10}, {"item": 17, "quantity": 20}]
L2021	[{"item": 20, "quantity": 35}]
L2024	[{"item": 16, "quantity": 8}, {"item": 19, "quantity": 18}, {"item": 17, "quantity": 18}]
L2027	[{"item": 3, "quantity": 4}]
L2029	[{"quantity": 36, "item": 17}, {"quantity": 12, "item": 19}, {"quantity": 6, "item": 18}]
L2032	[{"item": 3, "quantity": 10}]
L2033	[{"item": 3, "quantity": 35}]
L2034	[{"item": 18, "quantity": 3}, {"item": 7, "quantity": 15}, {"item": 8, "quantity": 15}]
L2042	[{"item": 7, "quantity": 33}, {"item": 17, "quantity": 88}]
L2045	[{"item": 6, "quantity": 160}, {"item": 4, "quantity": 160}, {"item": 17, "quantity": 160}]
L2048	[{"item": 16, "quantity": 9}, {"item": 17, "quantity": 9}, {"item": 19, "quantity": 9}]
L2051	[{"item": 16, "quantity": 15}, {"item": 17, "quantity": 15}]
L2054	[{"item": 17, "quantity": 54}, {"item": 19, "quantity": 18}]
L2057	[{"quantity": 34, "item": 16}]
L2059	[{"quantity": 14, "item": 16}, {"quantity": 20, "item": 19}, {"quantity": 26, "item": 17}]
L2063	[{"item": 7, "quantity": 4}, {"item": 8, "quantity": 5}]
L2071	[{"item": 3, "quantity": 11}, {"item": 1, "quantity": 11}]
L2072	[{"item": 3, "quantity": 12}]
L2078	[{"item": 17, "quantity": 21}, {"item": 18, "quantity": 4}]
L2081	[{"item": 18, "quantity": 8}]
L2084	[{"item": 21, "quantity": 13}, {"item": 17, "quantity": 29}]
L2087	[{"quantity": 20, "item": 19}]
L2091	[{"item": 19, "quantity": 30}, {"item": 20, "quantity": 40}]
L2093	[{"item": 18, "quantity": 1}, {"item": 19, "quantity": 15}, {"item": 17, "quantity": 30}]
L2094	[{"item": 17, "quantity": 122}]
L2096	[{"item": 16, "quantity": 14}, {"item": 19, "quantity": 27}, {"item": 24, "quantity": 4}]
L2098	[{"item": 17, "quantity": 6}, {"item": 16, "quantity": 30}]
L2100	[{"item": 19, "quantity": 9}, {"item": 17, "quantity": 26}]
L2101	[{"item": 19, "quantity": 25}, {"item": 17, "quantity": 15}, {"item": 9, "quantity": 5}]
L2103	[{"item": 17, "quantity": 40}, {"item": 25, "quantity": 40}]
L2108	[{"item": 22, "quantity": 3}]
L2114	[{"item": 9, "quantity": 14}, {"item": 17, "quantity": 40}, {"item": 16, "quantity": 24}]
L2117	[{"quantity": 60, "item": 17}, {"quantity": 60, "item": 8}]
L2123	[{"item": 17, "quantity": 48}, {"item": 25, "quantity": 51}]
L2125	[{"item": 18, "quantity": 1}, {"item": 19, "quantity": 15}, {"item": 17, "quantity": 40}]
L2126	[{"item": 20, "quantity": 20}, {"item": 17, "quantity": 27}]
L2129	[{"item": 17, "quantity": 161}]
L2132	[{"quantity": 10, "item": 17}, {"quantity": 10, "item": 19}, {"quantity": 10, "item": 16}]
L2134	[{"item": 17, "quantity": 14}, {"quantity": 14, "item": 19}]
L2150	[{"item": 3, "quantity": 25}]
L2153	[{"item": 17, "quantity": 32}]
L2155	[{"item": 17, "quantity": 12}]
L2156	[{"item": 3, "quantity": 20}]
L2158	[{"item": 17, "quantity": 90}, {"item": 18, "quantity": 6}, {"item": 2, "quantity": 100}]
L2161	[{"item": 17, "quantity": 32}]
L2163	[{"item": 21, "quantity": 5}]
L2165	[{"item": 25, "quantity": 30}]
L2167	[{"quantity": 32, "item": 17}, {"quantity": 32, "item": 19}]
L2170	[{"item": 17, "quantity": 30}]
L2171	[{"item": 17, "quantity": 55}]
L2173	[{"item": 19, "quantity": 12}, {"item": 17, "quantity": 35}]
L2176	[{"item": 17, "quantity": 75}, {"item": 18, "quantity": 7}]
L2179	[{"quantity": 60, "item": 17}, {"quantity": 32, "item": 19}]
L2181	[{"item": 3, "quantity": 10}]
L2183	[{"item": 7, "quantity": 40}]
L2185	[{"item": 17, "quantity": 90}]
L2186	[{"item": 16, "quantity": 22}, {"item": 8, "quantity": 14}, {"item": 17, "quantity": 7}]
L2197	[{"item": 17, "quantity": 133}]
L2198	[{"item": 17, "quantity": 16}, {"item": 19, "quantity": 16}]
L2202	[{"quantity": 24, "item": 16}, {"quantity": 19, "item": 19}]
L2204	[{"quantity": 2, "item": 18}, {"item": 17, "quantity": 105}]
L2205	[{"item": 17, "quantity": 36}, {"item": 19, "quantity": 36}]
L2209	[{"item": 20, "quantity": 50}, {"item": 9, "quantity": 11}]
L2213	[{"item": 18, "quantity": 4}, {"item": 25, "quantity": 168}]
L2215	[{"item": 16, "quantity": 15}]
L2219	[{"quantity": 2, "item": 18}, {"item": 2, "quantity": 75}, {"item": 4, "quantity": 75}]
L2221	[{"item": 18, "quantity": 4}]
L2222	[{"quantity": 4, "item": 18}]
L2227	[{"item": 3, "quantity": 30}]
L2231	[{"item": 19, "quantity": 14}, {"item": 16, "quantity": 20}, {"item": 17, "quantity": 26}]
L2234	[{"quantity": 21, "item": 19}, {"quantity": 61, "item": 17}]
L2238	[{"quantity": 30, "item": 3}]
L2249	[{"item": 3, "quantity": 5}, {"item": 17, "quantity": 51}]
L2253	[{"quantity": 20, "item": 7}, {"quantity": 10, "item": 8}]
L2257	[{"item": 6, "quantity": 100}, {"item": 1, "quantity": 100}]
L2259	[{"item": 17, "quantity": 70}, {"item": 25, "quantity": 52}]
L2262	[{"item": 17, "quantity": 60}]
L2264	[{"item": 16, "quantity": 10}, {"item": 19, "quantity": 16}, {"item": 17, "quantity": 24}]
L2268	[{"item": 24, "quantity": 4}, {"item": 9, "quantity": 10}]
L2270	[{"quantity": 6, "item": 17}, {"quantity": 14, "item": 3}, {"quantity": 28, "item": 19}]
L2271	[{"item": 19, "quantity": 40}, {"item": 17, "quantity": 15}]
L2274	[{"quantity": 12, "item": 19}, {"item": 17, "quantity": 56}]
L2275	[{"item": 17, "quantity": 20}]
L2281	[{"item": 17, "quantity": 94}, {"item": 25, "quantity": 36}]
L2284	[{"quantity": 40, "item": 19}]
L2285	[{"quantity": 28, "item": 17}]
L2287	[{"quantity": 18, "item": 19}, {"quantity": 40, "item": 16}]
L2289	[{"item": 17, "quantity": 122}]
L2290	[{"item": 17, "quantity": 56}]
L2292	[{"item": 18, "quantity": 5}, {"item": 19, "quantity": 60}, {"item": 20, "quantity": 30}]
L2293	[{"quantity": 8, "item": 17}, {"quantity": 12, "item": 16}, {"quantity": 16, "item": 19}]
L2295	[{"item": 17, "quantity": 28}]
L2296	[{"quantity": 9, "item": 17}, {"quantity": 9, "item": 19}, {"quantity": 9, "item": 3}]
L2299	[{"item": 17, "quantity": 74}, {"item": 19, "quantity": 44}]
L2301	[{"item": 18, "quantity": 9}, {"item": 32, "quantity": 170}]
L2304	[{"item": 24, "quantity": 3}]
L2307	[{"quantity": 127, "item": 17}]
L2313	[{"item": 17, "quantity": 86}]
L2314	[{"item": 26, "quantity": 60}]
L2328	[{"quantity": 15, "item": 3}]
L2329	[{"quantity": 60, "item": 17}, {"quantity": 20, "item": 19}, {"quantity": 10, "item": 16}]
L2330	[{"quantity": 3, "item": 9}, {"quantity": 11, "item": 8}]
L2331	[{"item": 17, "quantity": 48}, {"item": 19, "quantity": 14}]
L2332	[{"quantity": 27, "item": 17}, {"quantity": 27, "item": 19}]
L2334	[{"quantity": 4, "item": 18}, {"quantity": 8, "item": 16}, {"quantity": 12, "item": 19}]
L2338	[{"quantity": 4, "item": 18}, {"quantity": 8, "item": 19}, {"quantity": 16, "item": 17}]
L2340	[{"item": 18, "quantity": 6}]
L2341	[{"quantity": 25, "item": 16}, {"quantity": 40, "item": 19}]
L2343	[{"quantity": 99, "item": 17}, {"quantity": 30, "item": 19}]
L2347	[{"quantity": 6, "item": 18}, {"quantity": 20, "item": 17}, {"quantity": 20, "item": 19}]
L2349	[{"quantity": 25, "item": 3}]
L2350	[{"quantity": 2, "item": 9}, {"item": 17, "quantity": 22}]
L2354	[{"quantity": 15, "item": 8}, {"quantity": 70, "item": 17}]
L2355	[{"item": 16, "quantity": 15}, {"item": 19, "quantity": 35}]
L2361	[{"quantity": 2, "item": 18}, {"item": 19, "quantity": 48}]
L2362	[{"quantity": 60, "item": 17}, {"item": 18, "quantity": 5}]
L2364	[{"quantity": 3, "item": 18}]
L2368	[{"quantity": 27, "item": 17}]
L2371	[{"quantity": 27, "item": 16}]
L2372	[{"quantity": 100, "item": 2}, {"quantity": 100, "item": 4}, {"quantity": 100, "item": 5}]
L2375	[{"item": 16, "quantity": 18}, {"item": 19, "quantity": 12}]
L2378	[{"quantity": 30, "item": 3}]
L2380	[{"quantity": 6, "item": 18}, {"quantity": 9, "item": 19}]
L2382	[{"quantity": 24, "item": 18}]
L2383	[{"quantity": 20, "item": 19}, {"quantity": 90, "item": 17}]
L2385	[{"quantity": 18, "item": 18}]
L2388	[{"item": 20, "quantity": 50}, {"item": 5, "quantity": 100}]
L2390	[{"quantity": 6, "item": 18}, {"quantity": 25, "item": 19}]
L2391	[{"quantity": 14, "item": 16}]
L2393	[{"quantity": 180, "item": 17}]
L2397	[{"quantity": 25, "item": 3}]
L2400	[{"quantity": 1, "item": 18}, {"quantity": 15, "item": 16}, {"quantity": 30, "item": 19}]
L2402	[{"item": 17, "quantity": 72}]
L2404	[{"quantity": 9, "item": 3}]
L2410	[{"quantity": 18, "item": 19}]
L2414	[{"item": 17, "quantity": 70}]
L2423	[{"item": 16, "quantity": 20}, {"item": 6, "quantity": 50}]
L2427	[{"quantity": 27, "item": 19}, {"item": 18, "quantity": 5}]
L2429	[{"quantity": 20, "item": 19}, {"quantity": 20, "item": 16}, {"quantity": 35, "item": 17}]
L2431	[{"item": 17, "quantity": 100}, {"item": 24, "quantity": 3}]
L2432	[{"item": 17, "quantity": 136}, {"item": 19, "quantity": 45}]
L2433	[{"item": 25, "quantity": 56}]
L2435	[{"item": 19, "quantity": 14}, {"item": 20, "quantity": 1}]
L2436	[{"quantity": 81, "item": 19}, {"quantity": 20, "item": 16}]
L2442	[{"quantity": 12, "item": 18}]
L2444	[{"item": 32, "quantity": 20}]
L2446	[{"quantity": 25, "item": 16}]
L2449	[{"quantity": 12, "item": 19}, {"quantity": 20, "item": 17}, {"quantity": 15, "item": 16}]
L2451	[{"item": 17, "quantity": 55}, {"item": 25, "quantity": 36}]
L2455	[{"quantity": 27, "item": 16}, {"item": 3, "quantity": 22}]
L2461	[{"item": 22, "quantity": 4}, {"item": 9, "quantity": 2}]
L2463	[{"item": 19, "quantity": 25}, {"item": 17, "quantity": 29}]
L2473	[{"quantity": 8, "item": 19}, {"quantity": 14, "item": 16}, {"quantity": 32, "item": 17}]
L2478	[{"quantity": 150, "item": 17}]
L2481	[{"quantity": 180, "item": 17}, {"quantity": 5, "item": 18}]
L2487	[{"item": 18, "quantity": 7}]
L2492	[{"item": 4, "quantity": 100}, {"item": 20, "quantity": 18}]
L2494	[{"quantity": 4, "item": 18}, {"quantity": 8, "item": 16}, {"quantity": 80, "item": 17}]
L2499	[{"quantity": 4, "item": 3}]
L2520	[{"item": 3, "quantity": 15}]
L2521	[{"quantity": 15, "item": 16}, {"quantity": 20, "item": 17}]
L2522	[{"quantity": 18, "item": 19}]
L2524	[{"quantity": 15, "item": 16}, {"quantity": 18, "item": 19}]
L2533	[{"quantity": 14, "item": 16}]
L2534	[{"item": 17, "quantity": 126}]
L2539	[{"quantity": 8, "item": 16}, {"quantity": 16, "item": 19}, {"quantity": 40, "item": 17}]
L2549	[{"quantity": 66, "item": 17}]
L2555	[{"quantity": 14, "item": 3}]
L2556	[{"quantity": 1, "item": 18}, {"quantity": 20, "item": 19}, {"quantity": 10, "item": 16}]
L2558	[{"quantity": 8, "item": 19}, {"quantity": 12, "item": 16}, {"quantity": 16, "item": 3}]
L2560	[{"quantity": 1, "item": 18}, {"quantity": 16, "item": 3}, {"quantity": 35, "item": 19}]
L2563	[{"item": 17, "quantity": 98}, {"item": 16, "quantity": 14}]
L2565	[{"item": 3, "quantity": 7}, {"item": 1, "quantity": 7}]
L2567	[{"item": 18, "quantity": 5}, {"item": 7, "quantity": 15}]
L2573	[{"quantity": 28, "item": 17}]
L2582	[{"quantity": 26, "item": 17}, {"quantity": 10, "item": 19}]
L2584	[{"item": 19, "quantity": 5}]
L2591	[{"item": 25, "quantity": 50}, {"item": 19, "quantity": 50}]
L2595	[{"item": 1, "quantity": 9}, {"item": 3, "quantity": 9}, {"item": 5, "quantity": 9}]
L2597	[{"item": 17, "quantity": 35}]
L2600	[{"quantity": 10, "item": 16}, {"quantity": 22, "item": 19}, {"quantity": 1, "item": 3}]
